Name, Target Tr, Formate absorption energy
Au, -521.0658764317129, 61.93145025361211
Ag, -478.9149164687159, 70.98450104659094
Pd, -398.488126876612, 78.02480459716048
Pt, -350.5432865307274, 76.28315184584147
Ir, -355.8146554089544, 78.23208447987959
Ru, -389.43687919910315, 82.21257947427425
Rh, -410.6834591594346, 79.20231739536051
Cu, -431.11863715829, 90.03245607845905
Ni, -467.6544603588984, 99.94739606607243
Co, -487.76037379367654, 100.16204520332087
Fe, -500.25282814741644, 102.91877356789514
W, -526.4313208996762, 106.91337990075026
